0-1 3:[8-0.30][5-0.30][6-0.40]
2-11 3:[6-0.40][4-0.20][5-0.40]
2-12 4:[3-0.20][1-0.20][4-0.30][5-0.30]
2-13 4:[7-0.20][6-0.30][4-0.30][3-0.20]
2-14 3:[2-0.40][4-0.30][1-0.30]
2-15 3:[9-0.40][8-0.20][6-0.40]
2-16 2:[7-0.70][8-0.30]
2-17 2:[4-0.60][3-0.40]
2-18 4:[10-0.20][7-0.20][9-0.50][8-0.10]
2-19 2:[4-0.40][2-0.60]
3-4 2:[7-0.70][6-0.30]
3-5 3:[3-0.30][5-0.20][6-0.50]
3-6 2:[5-0.40][7-0.60]
3-7 2:[3-0.60][5-0.40]
3-8 3:[8-0.40][10-0.30][9-0.30]
3-9 2:[6-0.20][5-0.80]
3-10 2:[7-0.50][5-0.50]
3-11 2:[6-0.50][5-0.50]
3-12 2:[3-0.60][2-0.40]
3-13 2:[6-0.40][8-0.60]
3-14 2:[5-0.30][4-0.70]
3-15 3:[3-0.20][6-0.50][4-0.30]
3-16 2:[2-0.50][4-0.50]
3-17 2:[3-0.60][5-0.40]
3-18 4:[4-0.10][5-0.50][8-0.20][6-0.20]
3-19 3:[5-0.40][7-0.10][6-0.50]
4-5 4:[6-0.30][8-0.30][5-0.20][4-0.20]
4-6 3:[4-0.40][6-0.20][5-0.40]
4-7 3:[4-0.20][5-0.30][6-0.50]
4-8 4:[5-0.40][6-0.10][4-0.20][3-0.30]
4-9 2:[7-0.50][5-0.50]
4-10 2:[1-0.50][2-0.50]
4-11 2:[4-0.50][5-0.50]
4-12 2:[2-0.40][3-0.60]
4-13 4:[7-0.30][4-0.30][8-0.20][5-0.20]
4-14 4:[4-0.20][8-0.40][7-0.10][5-0.30]
4-15 3:[9-0.30][10-0.10][7-0.60]
4-16 4:[8-0.10][7-0.20][6-0.30][4-0.40]
4-17 3:[7-0.50][6-0.30][5-0.20]
4-18 4:[4-0.20][5-0.30][3-0.20][6-0.30]
4-19 2:[6-0.60][5-0.40]
5-6 2:[5-0.40][6-0.60]
5-7 2:[4-0.50][3-0.50]
5-8 2:[7-0.30][6-0.70]
5-9 2:[4-0.60][5-0.40]
5-10 2:[7-0.70][6-0.30]
5-11 2:[6-0.60][7-0.40]
5-12 2:[9-0.40][8-0.60]
5-13 2:[9-0.40][7-0.60]
5-14 3:[5-0.30][8-0.30][7-0.40]
5-15 2:[4-0.30][2-0.70]
5-16 2:[4-0.30][3-0.70]
5-17 3:[4-0.30][5-0.40][2-0.30]
5-18 2:[4-0.50][3-0.50]
5-19 2:[6-0.50][5-0.50]
6-7 2:[9-0.30][7-0.70]
6-8 2:[3-0.70][5-0.30]
6-9 2:[2-0.30][1-0.70]
6-10 3:[4-0.50][2-0.20][5-0.30]
6-11 3:[3-0.20][4-0.40][5-0.40]
6-12 3:[7-0.30][8-0.40][10-0.30]
6-13 3:[4-0.40][1-0.20][3-0.40]
6-14 2:[8-0.50][6-0.50]
6-15 4:[8-0.20][5-0.20][9-0.30][7-0.30]
6-16 3:[3-0.20][5-0.40][4-0.40]
6-17 3:[4-0.30][5-0.60][3-0.10]
6-18 2:[4-0.30][2-0.70]
6-19 2:[3-0.50][1-0.50]
7-8 2:[4-0.60][5-0.40]
7-9 4:[6-0.30][7-0.30][8-0.10][4-0.30]
7-10 3:[7-0.30][8-0.30][6-0.40]
7-11 4:[9-0.10][5-0.30][8-0.30][7-0.30]
7-12 2:[7-0.80][6-0.20]
7-13 3:[3-0.30][4-0.40][1-0.30]
7-14 2:[6-0.50][7-0.50]
7-15 3:[5-0.20][7-0.30][6-0.50]
7-16 3:[3-0.20][5-0.60][2-0.20]
7-17 2:[5-0.50][3-0.50]
7-18 3:[2-0.20][4-0.50][3-0.30]
7-19 2:[7-0.20][6-0.80]
8-9 2:[6-0.60][5-0.40]
8-10 3:[4-0.50][3-0.20][1-0.30]
8-11 2:[6-0.40][7-0.60]
8-12 2:[8-0.50][6-0.50]
8-13 3:[7-0.20][6-0.50][5-0.30]
8-14 4:[3-0.30][6-0.30][5-0.10][4-0.30]
8-15 2:[2-0.40][3-0.60]
8-16 2:[1-0.40][3-0.60]
8-17 2:[7-0.50][8-0.50]
8-18 3:[8-0.30][9-0.30][6-0.40]
8-19 2:[5-0.40][4-0.60]
9-10 2:[8-0.50][6-0.50]
9-11 3:[4-0.30][5-0.30][3-0.40]
9-12 4:[8-0.30][9-0.20][11-0.20][7-0.30]
9-13 3:[7-0.20][5-0.20][6-0.60]
9-14 2:[3-0.60][1-0.40]
9-15 2:[2-0.80][3-0.20]
9-16 4:[4-0.30][1-0.20][5-0.20][3-0.30]
9-17 2:[5-0.50][6-0.50]
9-18 2:[6-0.50][5-0.50]
9-19 2:[2-0.30][3-0.70]
10-11 2:[8-0.60][6-0.40]
10-12 2:[5-0.50][3-0.50]
10-13 2:[5-0.70][4-0.30]
10-14 2:[5-0.40][6-0.60]
10-15 2:[4-0.50][5-0.50]
10-16 3:[6-0.40][5-0.20][7-0.40]
10-17 3:[8-0.10][9-0.40][10-0.50]
10-18 2:[5-0.50][7-0.50]
10-19 2:[7-0.50][8-0.50]
11-12 2:[6-0.70][7-0.30]
11-13 2:[7-0.30][8-0.70]
11-14 3:[3-0.50][5-0.30][4-0.20]
11-15 2:[6-0.50][7-0.50]
11-16 2:[4-0.30][3-0.70]
11-17 2:[6-0.20][5-0.80]
11-18 2:[6-0.50][4-0.50]
11-19 2:[4-0.50][5-0.50]
12-13 3:[6-0.60][8-0.10][5-0.30]
12-14 2:[7-0.60][6-0.40]
12-15 2:[8-0.60][7-0.40]
12-16 2:[6-0.50][7-0.50]
12-17 3:[4-0.30][5-0.40][3-0.30]
12-18 2:[8-0.60][6-0.40]
12-19 2:[8-0.50][7-0.50]
13-14 3:[2-0.30][4-0.30][5-0.40]
13-15 4:[11-0.30][9-0.20][8-0.30][10-0.20]
13-16 2:[6-0.50][5-0.50]
13-17 3:[1-0.20][3-0.60][2-0.20]
13-18 2:[5-0.60][6-0.40]
13-19 2:[7-0.20][9-0.80]
14-15 2:[5-0.60][4-0.40]
14-16 2:[1-0.50][3-0.50]
14-17 2:[3-0.50][4-0.50]
14-18 2:[6-0.40][5-0.60]
14-19 2:[8-0.40][7-0.60]
15-16 3:[6-0.30][5-0.20][7-0.50]
15-17 2:[7-0.40][9-0.60]
15-18 4:[10-0.20][7-0.30][9-0.20][6-0.30]
15-19 2:[2-0.50][4-0.50]
16-17 2:[7-0.80][8-0.20]
16-18 2:[4-0.50][5-0.50]
16-19 3:[2-0.40][5-0.40][4-0.20]
17-18 3:[4-0.30][5-0.40][3-0.30]
17-19 2:[5-0.60][7-0.40]
18-19 2:[7-0.50][8-0.50]
